Id,Title,Summary,Date,Link,
23,Trump acquitted^ again^ by US Senate,President Biden said that despite the acquittal the charges against Trump are 'not in dispute' and called on Americans to defend democracy,14 Feb 2021,https://www.indiatoday.in/world/america/140221/trump-acquitted-again-by-us-senate.html
24,House rests Trump impeachment case^ defense begins Friday,Trump's lawyers will begin their defense on Friday^ arguing that he cannot be held personally responsible for the storming of Congress,12 Feb 2021,https://www.indiatoday.in/world/america/120221/house-rests-trump-impeachment-case-defense-begins-friday.html
25,Biden^ Xi face off in marathon two-hour call,The call was to set the stage for the relationship under the new US leader^ after it frayed under former president Donald Trump,12 Feb 2021,https://www.indiatoday.in/world/america/120221/biden-xi-face-off-in-marathon-two-hour-call.html
26,No change in policy on Jammu and Kashmir^ says US,A longstanding goal of US policy in South Asia has been to prevent India-Pakistan conflict from escalating to interstate war,11 Feb 2021,https://www.indiatoday.in/world/america/110221/no-change-in-policy-on-jammu-and-kashmir-says-us.html
27,Biden orders sanctions against Myanmar after military coup,Protesters seeking freedom for Aung San Suu Kyi and other party members detained by the military,11 Feb 2021,https://www.indiatoday.in/world/america/110221/biden-orders-sanctions-against-myanmar-after-military-coup.html
28,Trump trial begins but Republicans signal likely acquittal,The trial is clearly uncomfortable for many Republican senators^ who had to flee to safety during the violence,10 Feb 2021,https://www.indiatoday.in/world/america/100221/trump-trial-begins-but-republicans-signal-likely-acquittal.html
29,Biden^ Modi commit towards greater Indo-US ties; work against COVID^ terrorism,A veiled message to Pakistan was also sent^ with both countries resolving to 'stand together against the scourge of global terrorism',09 Feb 2021,https://www.indiatoday.in/world/america/090221/biden-modi-commit-towards-greater-indo-us-ties-work-against-covid-t.html
30,Mumbai attack accused Tahawwur Rana opposes extradition to India,Rana's extradition is barred under Article 6 of the United States-India extradition treaty with India,05 Feb 2021,https://www.indiatoday.in/world/america/050221/mumbai-attack-accused-tahawwur-rana-opposes-extradition-to-india.html
31,US will repair its alliances and engage with world once again: Biden,The US^ he said is ending all American support for offensive operations in the war in Yemen^ including relevant arms sales,05 Feb 2021,https://www.indiatoday.in/world/america/050221/us-will-repair-its-alliances-and-engage-with-world-once-again-biden.html
32,Steps that would improve efficiency of India's markets welcome: US,US has said it welcomes steps that would improve the efficiency of India's markets and attract greater private sector investment,04 Feb 2021,https://www.indiatoday.in/world/america/040221/steps-that-would-improve-efficiency-of-indias-markets-welcome-us.html
